date,q1_fwd_price,q3_fwd_price
2023-07-24,54.938,51.813
2023-07-25,56.263,53.3
2023-07-26,54.338,51.288
2023-07-27,54.688,51.413
2023-07-28,52.725,49.15
2023-07-31,53.675,50.063
2023-08-01,52.125,48.588
2023-08-02,52.225,48.413
2023-08-03,52.85,49.125
2023-08-04,52.375,48.563
2023-08-07,53.35,49.613
2023-08-08,52.725,49.1
2023-08-09,54.675,51.338
2023-08-10,53.725,49.85
2023-08-11,54.325,50.825
2023-08-14,54.2,50.9
2023-08-15,57.25,54.35
2023-08-16,57.175,54.188
2023-08-17,56.913,53.475
2023-08-18,57.325,53.85
2023-08-21,57.95,55.213
2023-08-22,59.513,56.763
2023-08-23,56.975,53.775
2023-08-24,53.288,49.738
2023-08-25,55.1,51.575
2023-08-29,55.663,51.938
2023-08-30,56.613,53.025
2023-08-31,55.325,51.463
2023-09-01,55.65,51.788
2023-09-04,54.625,50.888
2023-09-05,55.825,51.938
2023-09-06,53.9,49.763
2023-09-07,54.463,50.45
2023-09-08,54.4,50.313
2023-09-11,55.225,51.025
2023-09-12,54.7,50.525
2023-09-13,55.575,51.738
2023-09-14,54.8,50.675
2023-09-15,55.075,51
2023-09-18,53.575,49.263
2023-09-19,54.1,50.025
2023-09-20,53.138,48.725
